Kommunenavn;Period;År;Måned;Antall
Agder;2022/01;2022;1;82
Agder;2022/02;2022;2;36
Agder;2022/03;2022;3;50
Agder;2022/04;2022;4;56
Agder;2022/05;2022;5;82
Bamble;2022/01;2022;1;29 718
Bamble;2022/02;2022;2;30 679
Bamble;2022/03;2022;3;41 416
Bamble;2022/04;2022;4;31 133
Bamble;2022/05;2022;5;35 158
Drammen;2022/01;2022;1;9 484
Drammen;2022/02;2022;2;10 483
Drammen;2022/03;2022;3;11 941
Drammen;2022/04;2022;4;10 020
Drammen;2022/05;2022;5;10 229
Drangedal;2022/01;2022;1;7 085
Drangedal;2022/02;2022;2;5 280
Drangedal;2022/03;2022;3;8 417
Drangedal;2022/04;2022;4;5 568
Drangedal;2022/05;2022;5;6 887
Fyresdal;2022/01;2022;1;1 496
Fyresdal;2022/02;2022;2;1 070
Fyresdal;2022/03;2022;3;1 651
Fyresdal;2022/04;2022;4;1 069
Fyresdal;2022/05;2022;5;1 216
Færder;2022/01;2022;1;69 643
Færder;2022/02;2022;2;67 027
Færder;2022/03;2022;3;92 057
Færder;2022/04;2022;4;72 058
Færder;2022/05;2022;5;80 553
Hjartdal;2022/01;2022;1;1 636
Hjartdal;2022/02;2022;2;1 088
Hjartdal;2022/03;2022;3;1 955
Hjartdal;2022/04;2022;4;1 211
Hjartdal;2022/05;2022;5;1 277
Holmestrand;2022/01;2022;1;51 402
Holmestrand;2022/02;2022;2;46 639
Holmestrand;2022/03;2022;3;70 615
Holmestrand;2022/04;2022;4;47 985
Holmestrand;2022/05;2022;5;53 260
Horten;2022/01;2022;1;63 367
Horten;2022/02;2022;2;64 324
Horten;2022/03;2022;3;88 215
Horten;2022/04;2022;4;66 004
Horten;2022/05;2022;5;72 236
Kragerø;2022/01;2022;1;22 138
Kragerø;2022/02;2022;2;20 891
Kragerø;2022/03;2022;3;28 971
Kragerø;2022/04;2022;4;31 934
Kragerø;2022/05;2022;5;35 863
Kviteseid;2022/01;2022;1;3 980
Kviteseid;2022/02;2022;2;3 026
Kviteseid;2022/03;2022;3;4 688
Kviteseid;2022/04;2022;4;3 237
Kviteseid;2022/05;2022;5;3 942
Larvik;2022/01;2022;1;93 756
Larvik;2022/02;2022;2;82 184
Larvik;2022/03;2022;3;116 023
Larvik;2022/04;2022;4;86 935
Larvik;2022/05;2022;5;98 106
Midt-Telemark;2022/01;2022;1;13 182
Midt-Telemark;2022/02;2022;2;11 052
Midt-Telemark;2022/03;2022;3;16 590
Midt-Telemark;2022/04;2022;4;10 956
Midt-Telemark;2022/05;2022;5;13 258
Nissedal;2022/01;2022;1;1 658
Nissedal;2022/02;2022;2;1 222
Nissedal;2022/03;2022;3;2 119
Nissedal;2022/04;2022;4;1 378
Nissedal;2022/05;2022;5;1 494
Nome;2022/01;2022;1;7 712
Nome;2022/02;2022;2;7 976
Nome;2022/03;2022;3;12 003
Nome;2022/04;2022;4;8 107
Nome;2022/05;2022;5;9 910
Notodden;2022/01;2022;1;15 327
Notodden;2022/02;2022;2;12 927
Notodden;2022/03;2022;3;18 106
Notodden;2022/04;2022;4;12 110
Notodden;2022/05;2022;5;15 029
Porsgrunn;2022/01;2022;1;109 036
Porsgrunn;2022/02;2022;2;117 570
Porsgrunn;2022/03;2022;3;159 182
Porsgrunn;2022/04;2022;4;127 061
Porsgrunn;2022/05;2022;5;145 312
Sandefjord;2022/01;2022;1;125 374
Sandefjord;2022/02;2022;2;119 491
Sandefjord;2022/03;2022;3;164 009
Sandefjord;2022/04;2022;4;121 847
Sandefjord;2022/05;2022;5;136 526
Seljord;2022/01;2022;1;2 592
Seljord;2022/02;2022;2;1 891
Seljord;2022/03;2022;3;2 669
Seljord;2022/04;2022;4;1 951
Seljord;2022/05;2022;5;2 340
Siljan;2022/01;2022;1;4 668
Siljan;2022/02;2022;2;3 896
Siljan;2022/03;2022;3;5 635
Siljan;2022/04;2022;4;3 856
Siljan;2022/05;2022;5;4 397
Skien;2022/01;2022;1;154 984
Skien;2022/02;2022;2;169 038
Skien;2022/03;2022;3;226 744
Skien;2022/04;2022;4;169 734
Skien;2022/05;2022;5;191 457
Tinn;2022/01;2022;1;10 224
Tinn;2022/02;2022;2;9 665
Tinn;2022/03;2022;3;14 524
Tinn;2022/04;2022;4;9 241
Tinn;2022/05;2022;5;10 351
Tokke;2022/01;2022;1;4 415
Tokke;2022/02;2022;2;2 891
Tokke;2022/03;2022;3;4 623
Tokke;2022/04;2022;4;3 312
Tokke;2022/05;2022;5;3 775
Tønsberg;2022/01;2022;1;244 990
Tønsberg;2022/02;2022;2;238 389
Tønsberg;2022/03;2022;3;325 186
Tønsberg;2022/04;2022;4;245 503
Tønsberg;2022/05;2022;5;281 998
Vinje;2022/01;2022;1;5 386
Vinje;2022/02;2022;2;4 255
Vinje;2022/03;2022;3;6 313
Vinje;2022/04;2022;4;4 559
Vinje;2022/05;2022;5;5 252
